,0,ASIN,ModuleDegree,BelongsTo
380,0.012153368899075078,6303389546,2,160
40,0.010731563002844162,0940871327,2,38
166,0.009501062310757034,B000006QYD,2,35
400,0.009027415451441608,6305191794,2,23
309,0.008744169126041833,0788810677,2,145
119,0.007647146310548824,6303548946,2,76
232,0.007321261328439784,630447444X,2,131
170,0.006834326402235867,1572523360,2,106
171,0.00671122162904119,6305121702,2,47
259,0.0066779552938092835,0964769832,2,85
308,0.0066342007453910196,B00004RBNU,2,150
156,0.006330071739313593,B00005BCOU,2,102
194,0.006126287471187499,6304191006,1,195
378,0.006096085655817444,630021351X,2,53
389,0.005841271356413957,0307142469,2,125
196,0.005731875356095236,6303382967,2,33
273,0.005681685126180629,B00005ICEG,2,141
391,0.005607494034875524,0967501016,2,90
399,0.0055185515199328485,079398257X,1,264
84,0.005480323173137063,0769720633,2,67
417,0.0054736790474696016,6302161452,2,119
318,0.005417372043290275,6302969824,2,143
346,0.005356080588831012,B000009O1U,2,78
447,0.005312074871146488,6301976576,2,39
442,0.005303407408782186,6302962056,2,131
397,0.00527358315336661,6305337659,2,60
350,0.00510511833188607,B000056AY9,2,156
213,0.005070884181906362,B00002E24F,2,14
98,0.004916973788496662,6302843200,2,78
29,0.004914653316316646,1565015991,2,29
357,0.004872990147890507,6300184048,1,250
32,0.004872857988520106,6302796857,2,32
82,0.004646832497194793,6305237220,3,3
339,0.004580767160266263,0945671873,2,102
35,0.004580051097063393,0738920916,2,35
384,0.0045759634196288505,B00005A8S4,2,126
30,0.004559568793465429,6302166918,2,30
418,0.00449253367734213,B00007M5IA,2,149
361,0.004488624495329299,B000056WSS,2,158
42,0.004408503468277013,6302824990,2,40
387,0.0043847052073643505,6300208613,2,46
374,0.004376245822462759,076701135X,1,258
140,0.004340372950537663,1568322259,1,186
147,0.004340083526531066,6305841721,2,97
215,0.004297262824101502,6305495483,2,124
342,0.004232457586477098,B00005MKMY,2,80
224,0.0042041116251935705,6303102492,2,99
432,0.004187396701015995,6300269582,1,272
158,0.004173385399559686,B000067D0J,2,104
367,0.00414505503707423,B00005Q2YK,2,152
300,0.004129342413273348,6303459978,2,130
427,0.004120632778773246,6303654223,1,271
428,0.004078583511229959,B000062XJ6,2,138
61,0.004077712309853231,6304475152,3,3
280,0.004055351443543499,B00004TTI2,2,18
365,0.004052291230979561,0967699908,2,159
125,0.0040418290228595895,B00004Y576,2,10
2,0.004035299910808424,B000063W82,2,12
21,0.003969089843910863,6300213056,2,24
47,0.003933907511753589,0788822721,1,170
203,0.003924964855837394,0767813227,2,122
251,0.0038753258146985202,B0000640ZT,2,41
294,0.003838188256716035,0783215096,2,136
230,0.003816210362044734,1578071984,2,130
51,0.0037489603543830008,0792146220,2,44
288,0.003744952688541266,6303184219,2,147
274,0.0037242160528083833,6302316480,2,142
377,0.0037238166749803945,6303284027,2,121
310,0.003720061589835104,B00000F0G1,2,20
379,0.003666351612793908,6303218814,1,260
33,0.0036350132367959447,6304304188,2,33
419,0.0036089562048200303,B00007M5IH,2,79
34,0.003574774158104374,6301967380,2,34
20,0.0035548234193309267,6304138458,2,23
77,0.0035164818483305865,B000053VCG,2,65
113,0.0034980311630513077,6305565724,1,181
369,0.003490507846349861,B00005M2H9,1,256
181,0.0034719204438651485,6305214220,2,116
285,0.0034677100127441,6303435513,2,145
263,0.003439204731978115,6302919789,2,138
122,0.00343658233378876,B000062XKN,2,88
124,0.0034312030156979185,6302712971,2,89
165,0.0034197274047832013,6301805046,2,109
270,0.0034050405521058045,6304159242,1,222
437,0.0033931119206428257,B00005NGDO,1,274
319,0.0033679427871374143,6301964071,1,237
185,0.0033631677154503346,B00005AXA6,2,73
172,0.003362180933072603,6304744269,2,21
448,0.0033530235933099833,B00004UCXH,2,29
175,0.0033522819908093243,6303929966,2,94
199,0.0033430418401293955,B00005KAQH,2,121
209,0.003335361766890186,0792839234,2,69
189,0.003334930815545292,6302374294,2,119
349,0.0033260821398271747,6301706498,2,155
252,0.0033108457682786687,B0000640ZS,2,105
253,0.0032765137229293756,B0000640ZV,1,217
137,0.0032692322514110313,6301942655,2,17
22,0.003258227059470965,6302999014,2,24
302,0.0032256107805406194,6304366043,2,147
68,0.00316917277487191,1585651052,2,58
291,0.003167192010355569,0790731339,1,228
134,0.0031671689231180613,1573301256,3,7
265,0.0031628623014224788,630439604X,2,139
348,0.003122165268230069,0783224885,3,5
141,0.003117257792311934,B00005B6NJ,1,187
138,0.003105647351661221,6300253228,2,94
298,0.0030967390638543205,0793903343,2,27
110,0.003060439484935428,B00004YZH0,1,179
336,0.0030532204141396307,6304185537,2,140
290,0.0030455606240563046,6303467830,2,148
439,0.0030405499647337673,B00000FD84,2,118
159,0.003035216417007189,6302957532,2,105
435,0.0029992036568911233,B00006IQ9Y,2,159
10,0.0029970837129553126,B00000INB5,2,18
177,0.0029897698672135794,6300269485,2,113
332,0.0029668272676794103,B00001MXWS,1,242
283,0.002940287824973938,B00000JQUZ,2,144
38,0.0029318719130382205,B00004RF5N,1,168
239,0.0029224168718627094,6303671764,2,133
219,0.002909666997902849,B00000JQ8G,2,125
24,0.0028843601287646264,6301267788,2,26
66,0.0028839796579850445,6302101220,1,172
227,0.002870938494496809,6304499205,1,206
1,0.0028698798982974075,B0000060T5,2,11
56,0.0028673806120490444,630302663X,2,40
433,0.00283068410343521,6303223400,2,71
63,0.0028260201114532896,1563643278,2,54
160,0.0028254865853421175,6302503779,2,106
321,0.0028188415921864265,0773343032,2,54
404,0.0028152814596933704,6302240840,1,265
393,0.002802247812536167,0767001346,2,151
214,0.0027979592766091605,6303095151,3,8
390,0.0027915852646709515,6302461960,3,7
401,0.0027902241328844795,6304684681,3,6
204,0.0027877774794797167,6304025912,2,88
168,0.0027663107111190396,6302041104,2,111
127,0.0027594201706372954,0967539005,2,38
64,0.002757356250927289,6304073496,2,55
322,0.0027465242190744185,6304907621,2,97
296,0.0027303796199070387,B00005RJ1I,2,149
50,0.002695654634058556,6301576152,2,19
394,0.0026895824923213615,6301810678,2,28
7,0.002668143024464274,6303864120,2,16
0,0.002653611136297853,6303360041,2,10
208,0.002628724165380563,B00007FCTN,1,199
16,0.002608635495538987,6302712998,3,0
314,0.002607622845839929,073603417X,1,235
95,0.0025988230562527847,0769720641,2,75
117,0.002584713354585953,B000058TMK,2,86
97,0.0025819962690782103,1561278483,2,77
45,0.0025807930534423812,6301320417,2,43
102,0.0025748864382965494,6302378702,3,2
83,0.002569640306543484,6302777275,2,66
49,0.002564384970309774,6304474121,2,34
128,0.002561075027548447,6302874629,2,90
386,0.00252727391254704,6303312136,2,161
421,0.0025208415760560998,B00001WRIK,2,120
132,0.0025126626682657324,6302878772,3,1
28,0.00243555406055607,B000056N8D,2,28
154,0.0024297766913199876,1888568003,2,100
228,0.0024265869624333033,0792844629,1,207
3,0.0023980815347721825,B0000060TP,2,13
71,0.0023980815347721825,6304291752,2,61
75,0.0023980815347721825,630344461X,2,63
115,0.0023980815347721825,6302161444,2,13
176,0.0023980815347721825,B00004STCU,2,112
225,0.0023980815347721825,630443815X,2,128
231,0.0023980815347721825,0792158369,2,63
277,0.0023980815347721825,1573309923,2,61
287,0.0023980815347721825,B00004TJLI,2,146
375,0.0023980815347721825,B00006FMXB,2,112
415,0.0023980815347721825,0767011570,2,146
444,0.0023980815347721825,B00000IRDW,2,128
366,0.0023790723485242727,B00005M2HK,2,160
353,0.002377147279272439,B000059YSB,1,248
109,0.002373061769554357,B00004YZH4,2,22
207,0.0023687251198594404,6303816363,2,36
452,0.0023651068377848355,0764000969,3,5
373,0.0023586771954625108,0972031731,2,148
8,0.0023481618843888582,0784017859,3,0
268,0.0023476546572248234,6305198152,2,135
6,0.00233058536445569,6301966422,2,15
67,0.0023137039650382714,6302138817,2,57
403,0.0023071824829446886,6304263198,2,11
420,0.0022887745721569177,B00007M5I4,2,86
426,0.002277190460128509,B000068TSN,2,104
39,0.002241398915574746,6304005946,3,1
316,0.0022391099492870686,1560395788,2,141
4,0.002220152766867823,B00000IC8N,2,14
341,0.002218269449605358,6303418872,1,245
407,0.0022162773533624296,1571320377,1,267
92,0.002197989956415753,B00005U8RQ,2,73
104,0.002184887998130312,6305180822,3,4
446,0.0021814402833291876,B00004LC7T,2,161
116,0.0021658158385065088,B000065B20,1,183
157,0.0021649247278814282,6303939015,2,103
256,0.002157494899631466,6301569180,1,218
240,0.002151192838264724,6303687261,2,43
129,0.0021450754619800247,6301313941,2,91
250,0.002140174896801362,B0000640ZI,1,216
78,0.002140156043481458,6301766377,1,174
422,0.0021371214314995324,6302450179,1,270
241,0.0021327373001208396,6305538573,2,134
41,0.002126996969293909,6304945175,2,39
9,0.0021053986790089377,0767013395,2,17
164,0.002086893243930492,B000056F1J,2,108
26,0.0020681162388964686,6301722272,2,27
351,0.002067676825219766,B000056AYW,2,127
233,0.0020560088772641305,B00000IBKK,2,96
153,0.0020335140955975704,6300184889,2,99
371,0.0020176483237911835,1578071445,2,154
107,0.0019768347360864377,6304525753,3,5
53,0.0019735731615632326,6303647073,2,46
