,0,1,2,NumberOfNodes
0,1561278483,B0000060TP,B0000640ZS,3
1,6303929966,0792146220,6303864120,3
2,0784017859,6301272307,6303975704,3
3,093040758X,0767013395,B00003BDZ9,3
4,6302041104,B00000INB5,6303344259,3
5,630302663X,6303312136,B00000INB3,3
6,B000009ELJ,156855334X,6304159242,3
7,B00004UCXH,6300213056,6302485061,3
8,0738920916,6305841721,1567301193,3
9,6302277604,6303647073,B00000FASD,3
10,6302874629,6303471234,B00000JNTB,3
11,0967501016,1585651052,079398257X,3
12,0773343032,6303231837,073600193X,3
13,B00005RJ1I,1560395788,6303548946,3
14,6302461960,B00005NTOF,1573301256,3
15,6303360041,B00004Y576,,2
16,B0000060T5,6305076685,,2
17,B000063W82,B00005U8RA,,2
18,B00000IC8N,1567301347,,2
19,6302374294,6301966422,,2
20,B00000INB1,6305198152,,2
21,6301969294,B00000INB2,,2
22,6303244017,B00000INB0,,2
23,B00004YZH1,6304907761,,2
24,6302712998,6302138817,,2
25,0966012224,6301964071,,2
26,B00007LP8N,6304138458,,2
27,6304185901,6302999014,,2
28,6301569180,030714335X,,2
29,6301267788,B00005U8RQ,,2
30,B00005AXA6,B000056N8D,,2
31,6302796857,1565015991,,2
32,6302166918,6302919789,,2
33,6304304188,192973221X,,2
34,6305565724,6301967380,,2
35,B00007M5IA,630017476X,,2
36,B00004RF5N,B00006RCQG,,2
37,B00002EPG7,6304005946,,2
38,0940871327,1568322259,,2
39,6304945175,6302712971,,2
40,6303092020,B00005KAQH,,2
41,1558802339,6302161401,,2
42,B00004XMTZ,6301320417,,2
43,630511739X,0788822721,,2
44,6303852637,B00001MXWS,,2
45,6304474121,0964769832,,2
46,6301576152,0307142469,,2
47,078400949X,B00004UEEA,,2
48,6302919673,B00000JNTV,,2
49,6305276854,630194299X,,2
50,6301978706,1573623474,,2
51,6303584934,6304372396,,2
52,6300213420,6304475152,,2
53,6302507251,1563643278,,2
54,6304073496,630430840X,,2
55,1573309923,6304291752,,2
56,630098687X,6303203922,,2
57,079229548X,630344461X,,2
58,B000053VCO,B00005MKMY,,2
59,B00005U8R7,0767820630,,2
60,0780620097,6305538573,,2
61,6303890385,6300253228,,2
