,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote,visited,v1,v2,v3,v4,v5
0,0,59,6303360041,Video,13524,1,,531181,,,,5,4.0,65,7,0.0,245.0,0.0,0.0,0.0
1,1,71,B0000060T5,Video,21571,4,272914,151477,223582,176580,,2,5.0,29,8,12.0,32.0,20.0,2.0,0.0
3,3,84,B000063W82,Video,780,2,239294,,342090,,,14,4.5,418,4,219.0,0.0,13.0,0.0,0.0
4,4,124,B0000060TP,Video,25127,5,302516,366784,318491,243477,320027,2,4.5,8,10,4.0,9.0,0.0,7.0,14.0
7,7,180,B00000IC8N,Video,7315,4,28001,219583,508984,,534474,1,5.0,4,6,1.0,0.0,6.0,0.0,58.0
14,14,391,0792296176,Video,29499,2,,,108462,512644,,1,5.0,8,2,0.0,0.0,5.0,76.0,0.0
15,15,410,6301966422,Video,4578,1,,,,,321779,18,4.0,53,3,0.0,0.0,0.0,0.0,85.0
17,17,442,6303864120,Video,8215,5,524878,410311,444980,80452,132282,4,5.0,24,14,139.0,34.0,37.0,62.0,79.0
21,21,656,0784017859,Video,1250,4,75908,181456,461220,,535940,19,4.5,99,10,90.0,252.0,80.0,0.0,120.0
29,29,786,0767013395,Video,15181,3,301275,202257,,524969,,3,4.0,56,8,17.0,0.0,0.0,13.0,0.0
32,32,862,B00000INB5,Video,6548,3,152810,,866,865,,11,4.5,216,13,69.0,0.0,167.0,285.0,0.0
33,33,864,B00000INB3,Video,10261,3,424117,,362034,,866,18,4.5,409,6,138.0,0.0,73.0,0.0,167.0
34,34,865,B00000INB1,Video,4424,4,152810,155455,862,519640,,33,4.5,285,16,69.0,201.0,216.0,493.0,0.0
35,35,866,B00000INB2,Video,10497,4,862,152810,865,,864,18,4.0,167,9,216.0,69.0,285.0,0.0,409.0
37,37,868,B00000INB0,Video,26817,4,866,865,152810,862,,11,4.0,56,4,167.0,285.0,69.0,216.0,0.0
38,38,873,6304907761,Video,18418,5,255355,366253,74023,247194,183871,9,5.0,71,11,197.0,93.0,83.0,36.0,7.0
39,39,879,6302712998,Video,13463,4,,162295,399436,216213,241859,0,0.0,0,13,0.0,0.0,9.0,0.0,0.0
40,40,881,B000009ELJ,Video,4351,3,333647,,81991,2672,,24,2.5,34,6,38.0,0.0,3.0,19.0,0.0
41,41,887,6302598869,Video,3361,3,507659,,,211955,486684,10,5.0,110,4,109.0,0.0,0.0,375.0,466.0
43,43,911,0966012224,Video,12196,4,259174,151229,229980,,295498,13,4.5,41,7,102.0,60.0,48.0,0.0,57.0
44,44,921,6304138458,Video,21465,2,33555,,416802,,,8,4.0,85,4,130.0,0.0,12.0,0.0,0.0
50,50,1015,6300213056,Video,19813,3,441874,466135,231400,,,26,4.0,81,6,45.0,31.0,34.0,0.0,0.0
52,52,1047,6302999014,Video,41403,1,249526,,,,,3,3.5,18,2,11.0,0.0,0.0,0.0,0.0
