,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote
0,0,59,6303360041,Video,13524,5,B00000JRW5,630290899X,B0000DD780,B000083C8K,B000062XF1,5,4,65
1,1,71,B0000060T5,Video,21571,5,6303953344,630395331X,6303953328,6303953301,6304159927,2,5,29
2,2,81,6304286961,Video,10217,5,0783233485,0679726225,6305603847,1592400647,0679734627,167,4,527
3,3,84,B000063W82,Video,780,5,156949407X,B0000033XO,1569494096,B0000033XL,B00005JKTY,14,4.5,418
4,4,124,B0000060TP,Video,25127,5,6303192084,6303192092,6303192076,6303192041,630319205X,2,4.5,8
5,5,156,0970911300,Video,56356,0,,,,,,3,3.5,11
6,6,169,B00000IBNZ,Video,73557,0,,,,,,3,4,2
7,7,180,B00000IC8N,Video,7315,5,B000068TSN,1571324275,6304513186,B000088UN3,1571325778,1,5,4
8,8,190,6303454488,Video,23333,5,0743228154,B00000F2L9,B000035P7X,0743228278,B00023B1A8,19,4,262
9,9,205,B00005LAF3,Video,96810,0,,,,,,0,0,0
10,10,229,6304733542,Video,27452,0,,,,,,1,5,40
11,11,251,6301045734,Video,9169,5,B00007L4MV,0790729377,B00007ELDP,0811214044,B00007KQA0,8,5,46
12,12,254,6301967917,Video,4828,5,B0006TPDPM,B0003JANSW,B000063UR5,B00008LDNZ,B0006HBZBK,20,4,195
13,13,306,6304702329,Video,69930,5,B0002YLC24,B00005JMJG,B0002C4JIA,B0007TKOAA,B0007OCG4W,178,4.5,1294
14,14,391,0792296176,Video,29499,4,6304475233,6304474598,6304438117,6304474636,,1,5,8
15,15,410,6301966422,Video,4578,5,6302995779,630020913X,B000006CPD,6301802691,6301599241,18,4,53
16,16,415,B00000I9PH,Video,64573,0,,,,,,2,5,6
17,17,442,6303864120,Video,8215,5,6303152767,6303152783,6303152821,6303864236,B00005BCMU,4,5,24
18,18,499,6304972857,Video,4606,5,B000002JEP,B00002E224,B000002JEX,0767805712,B0002YLC24,143,4,488
19,19,555,6301701720,Video,75587,0,,,,,,0,0,0
20,20,589,6304618166,Video,123277,0,,,,,,0,0,0
21,21,656,0784017859,Video,1250,5,0784017786,B00005Y72C,B00005UM4F,B00009YXET,B00005UM4G,19,4.5,99
22,22,669,1929732058,Video,36978,0,,,,,,2,5,4
23,23,679,6305957800,Video,58721,0,,,,,,0,0,0
24,24,730,6304069235,Video,90660,0,,,,,,0,0,0
25,25,741,6300269833,Video,15484,5,B000053VB8,B000053VBA,B0000TWMT8,B000053VB6,B0000696I2,13,4,51
26,26,748,B00005QVUT,Video,35800,0,,,,,,0,0,0
27,27,758,B00005RT3I,Video,22110,5,B00005NSXV,0783233493,B00005U5AC,0790729717,6305428409,65,4.5,155
28,28,770,B00005B7DP,Video,62680,5,B00005R87B,B00007AJDP,B000068QL8,B00007KQKM,B00009XN2V,10,3.5,52
29,29,786,0767013395,Video,15181,5,B000006QI1,0767017633,B00004YRID,B00000JGDU,B0000AUHQT,3,4,56
30,30,854,B00000INBZ,Video,14952,5,B00005M0JI,0060013133,0060586605,0060012366,0060013168,53,4,289
31,31,857,1930395035,Video,57824,0,,,,,,0,0,0
32,32,862,B00000INB5,Video,6548,5,B00000INB4,B0000A5A0S,B00000INB2,B00000INB1,B0000EMYAY,11,4.5,216
33,33,864,B00000INB3,Video,10261,5,6305996016,B0000AZKOI,B000055ZGT,6304061951,B00000INB2,18,4.5,409
34,34,865,B00000INB1,Video,4424,5,B00000INB4,6302967953,B00000INB5,B00004XPQ0,6304061951,33,4.5,285
35,35,866,B00000INB2,Video,10497,5,B00000INB5,B00000INB4,B00000INB1,B0000A5A0S,B00000INB3,18,4,167
36,36,867,0970348002,Video,73201,0,,,,,,8,4.5,15
37,37,868,B00000INB0,Video,26817,4,B00000INB2,B00000INB1,B00000INB4,B00000INB5,,11,4,56
38,38,873,6304907761,Video,18418,5,6305320136,6304561873,0767739590,6302208645,B00000BE4J,9,5,71
39,39,879,6302712998,Video,13463,5,6302482739,6303146864,6303146902,6304696019,6302712947,0,0,0
40,40,881,B000009ELJ,Video,4351,5,630193296X,B00023BM4S,6301960203,6301576152,B00009OWI1,24,2.5,34
41,41,887,6302598869,Video,3361,5,B00006JDRJ,6301555376,6303195849,630354200X,6301729897,10,5,110
42,42,909,188033657X,Video,66361,0,,,,,,5,2.5,10
